id,player_a,a_cannonball_count,a_parchment_count,a_jewel_count,a_bottle_count,player_b,b_cannonball_count,b_parchment_count,b_jewel_count,b_bottle_count,difficulty
A1,Eyes,0,0,0,2,Hands,0,0,2,0,30
A2,Eyes,3,0,0,0,Hands,0,3,0,0,32
A3,Eyes,0,4,0,0,Hands,0,0,0,4,34
A4,Eyes,0,0,1,2,Hands,3,0,0,0,45
A5,Eyes,2,2,0,0,Hands,0,0,4,0,47
A6,Eyes,1,2,0,1,Hands,0,0,4,0,60
A7,Eyes,0,0,0,2,Ears,2,0,0,0,30
A8,Eyes,0,0,3,0,Ears,0,0,0,3,32
A9,Eyes,0,0,4,0,Ears,4,0,0,0,34
B1,Eyes,0,0,1,2,Ears,0,3,0,0,45
B2,Eyes,0,0,4,0,Ears,1,3,0,0,47
B3,Eyes,4,0,0,0,Ears,0,2,1,1,60
B4,Eyes,2,0,0,0,Mouth,0,0,2,0,30
B5,Eyes,0,3,0,0,Mouth,3,0,0,0,32
B6,Eyes,0,0,0,4,Mouth,4,0,0,0,34
B7,Eyes,0,3,0,0,Mouth,0,0,1,2,45
B8,Eyes,4,0,0,0,Mouth,0,2,0,2,47
B9,Eyes,0,2,1,1,Mouth,4,0,0,0,60
C1,Hands,2,0,0,0,Ears,0,0,2,0,30
C2,Hands,0,0,0,3,Ears,0,0,3,0,32
C3,Hands,0,4,0,0,Ears,4,0,0,0,34
C4,Hands,0,0,3,0,Ears,2,1,0,0,45
C5,Hands,3,1,0,0,Ears,0,0,4,0,47
C6,Hands,0,4,0,0,Ears,1,0,1,2,60
C7,Hands,2,0,0,0,Mouth,0,0,0,2,30
C8,Hands,0,0,3,0,Mouth,0,0,0,3,32
C9,Hands,0,4,0,0,Mouth,4,0,0,0,34
D1,Hands,0,0,0,3,Mouth,2,1,0,0,45
D2,Hands,4,0,0,0,Mouth,0,0,2,2,47
D3,Hands,4,0,0,0,Mouth,0,2,1,1,60
D4,Ears,2,0,0,0,Mouth,0,0,2,0,30
D5,Ears,0,0,3,0,Mouth,0,0,0,3,32
D6,Ears,0,0,4,0,Mouth,0,4,0,0,34
D7,Ears,0,0,3,0,Mouth,0,2,0,1,45
D8,Ears,4,0,0,0,Mouth,0,0,2,2,47
D9,Ears,1,1,0,2,Mouth,0,0,4,0,60
