id,@player_a,@a_cannonball_count,@a_parchment_count,@a_jewel_count,@a_bottle_count,@player_b,@b_cannonball_count,@b_parchment_count,@b_jewel_count,@b_bottle_count,difficulty
A1,Eyes.eps,0.eps,0.eps,0.eps,2.eps,Hands.eps,0.eps,0.eps,2.eps,0.eps,30
A2,Eyes.eps,3.eps,0.eps,0.eps,0.eps,Hands.eps,0.eps,3.eps,0.eps,0.eps,32
A3,Eyes.eps,0.eps,4.eps,0.eps,0.eps,Hands.eps,0.eps,0.eps,0.eps,4.eps,34
A4,Eyes.eps,0.eps,0.eps,1.eps,2.eps,Hands.eps,3.eps,0.eps,0.eps,0.eps,45
A5,Eyes.eps,2.eps,2.eps,0.eps,0.eps,Hands.eps,0.eps,0.eps,4.eps,0.eps,47
A6,Eyes.eps,1.eps,2.eps,0.eps,1.eps,Hands.eps,0.eps,0.eps,4.eps,0.eps,60
A7,Eyes.eps,0.eps,0.eps,0.eps,2.eps,Ears.eps,2.eps,0.eps,0.eps,0.eps,30
A8,Eyes.eps,0.eps,0.eps,3.eps,0.eps,Ears.eps,0.eps,0.eps,0.eps,3.eps,32
A9,Eyes.eps,0.eps,0.eps,4.eps,0.eps,Ears.eps,4.eps,0.eps,0.eps,0.eps,34
B1,Eyes.eps,0.eps,0.eps,1.eps,2.eps,Ears.eps,0.eps,3.eps,0.eps,0.eps,45
B2,Eyes.eps,0.eps,0.eps,4.eps,0.eps,Ears.eps,1.eps,3.eps,0.eps,0.eps,47
B3,Eyes.eps,4.eps,0.eps,0.eps,0.eps,Ears.eps,0.eps,2.eps,1.eps,1.eps,60
B4,Eyes.eps,2.eps,0.eps,0.eps,0.eps,Mouth.eps,0.eps,0.eps,2.eps,0.eps,30
B5,Eyes.eps,0.eps,3.eps,0.eps,0.eps,Mouth.eps,3.eps,0.eps,0.eps,0.eps,32
B6,Eyes.eps,0.eps,0.eps,0.eps,4.eps,Mouth.eps,4.eps,0.eps,0.eps,0.eps,34
B7,Eyes.eps,0.eps,3.eps,0.eps,0.eps,Mouth.eps,0.eps,0.eps,1.eps,2.eps,45
B8,Eyes.eps,4.eps,0.eps,0.eps,0.eps,Mouth.eps,0.eps,2.eps,0.eps,2.eps,47
B9,Eyes.eps,0.eps,2.eps,1.eps,1.eps,Mouth.eps,4.eps,0.eps,0.eps,0.eps,60
C1,Hands.eps,2.eps,0.eps,0.eps,0.eps,Ears.eps,0.eps,0.eps,2.eps,0.eps,30
C2,Hands.eps,0.eps,0.eps,0.eps,3.eps,Ears.eps,0.eps,0.eps,3.eps,0.eps,32
C3,Hands.eps,0.eps,4.eps,0.eps,0.eps,Ears.eps,4.eps,0.eps,0.eps,0.eps,34
C4,Hands.eps,0.eps,0.eps,3.eps,0.eps,Ears.eps,2.eps,1.eps,0.eps,0.eps,45
C5,Hands.eps,3.eps,1.eps,0.eps,0.eps,Ears.eps,0.eps,0.eps,4.eps,0.eps,47
C6,Hands.eps,0.eps,4.eps,0.eps,0.eps,Ears.eps,1.eps,0.eps,1.eps,2.eps,60
C7,Hands.eps,2.eps,0.eps,0.eps,0.eps,Mouth.eps,0.eps,0.eps,0.eps,2.eps,30
C8,Hands.eps,0.eps,0.eps,3.eps,0.eps,Mouth.eps,0.eps,0.eps,0.eps,3.eps,32
C9,Hands.eps,0.eps,4.eps,0.eps,0.eps,Mouth.eps,4.eps,0.eps,0.eps,0.eps,34
D1,Hands.eps,0.eps,0.eps,0.eps,3.eps,Mouth.eps,2.eps,1.eps,0.eps,0.eps,45
D2,Hands.eps,4.eps,0.eps,0.eps,0.eps,Mouth.eps,0.eps,0.eps,2.eps,2.eps,47
D3,Hands.eps,4.eps,0.eps,0.eps,0.eps,Mouth.eps,0.eps,2.eps,1.eps,1.eps,60
D4,Ears.eps,2.eps,0.eps,0.eps,0.eps,Mouth.eps,0.eps,0.eps,2.eps,0.eps,30
D5,Ears.eps,0.eps,0.eps,3.eps,0.eps,Mouth.eps,0.eps,0.eps,0.eps,3.eps,32
D6,Ears.eps,0.eps,0.eps,4.eps,0.eps,Mouth.eps,0.eps,4.eps,0.eps,0.eps,34
D7,Ears.eps,0.eps,0.eps,3.eps,0.eps,Mouth.eps,0.eps,2.eps,0.eps,1.eps,45
D8,Ears.eps,4.eps,0.eps,0.eps,0.eps,Mouth.eps,0.eps,0.eps,2.eps,2.eps,47
D9,Ears.eps,1.eps,1.eps,0.eps,2.eps,Mouth.eps,0.eps,0.eps,4.eps,0.eps,60
